longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,bedrooms_per_rooms,population_per_household,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value
-122.27,37.85,52,1228,293,648,303,2.1202,0.9669967,0.238599349,2.138613861,0,0,0,1,0,155500
-122.26,37.84,50,2239,455,990,419,1.9911,1.085918854,0.203215721,2.362768496,0,0,0,1,0,158700
-122.27,37.84,52,1503,298,690,275,2.6033,1.083636364,0.198270126,2.509090909,0,0,0,1,0,162900
-122.27,37.85,40,751,184,409,166,1.3578,1.108433735,0.245006658,2.463855422,0,0,0,1,0,147500
-122.27,37.85,42,1639,367,929,366,1.7135,1.00273224,0.223917023,2.538251366,0,0,0,1,0,159800
-122.27,37.84,52,2436,541,1015,478,1.725,1.131799163,0.222085386,2.123430962,0,0,0,1,0,113900
-122.27,37.84,52,1688,337,853,325,2.1806,1.036923077,0.19964455,2.624615385,0,0,0,1,0,99700
-122.27,37.84,52,2224,437,1006,422,2.6,1.035545024,0.196492806,2.383886256,0,0,0,1,0,132600
-122.28,37.85,41,535,123,317,119,2.4038,1.033613445,0.229906542,2.663865546,0,0,0,1,0,107500
-122.28,37.85,49,1130,244,607,239,2.4597,1.020920502,0.215929204,2.539748954,0,0,0,1,0,93800
-122.28,37.85,52,1898,421,1102,397,1.808,1.060453401,0.221812434,2.77581864,0,0,0,1,0,105500
-122.28,37.84,50,2082,492,1131,473,1.6424,1.040169133,0.236311239,2.391120507,0,0,0,1,0,108900
-122.28,37.84,52,729,160,395,155,1.6875,1.032258065,0.219478738,2.548387097,0,0,0,1,0,132000
-122.28,37.84,49,1916,447,863,378,1.9274,1.182539683,0.233298539,2.283068783,0,0,0,1,0,122300
-122.28,37.84,52,2153,481,1168,441,1.9615,1.090702948,0.223409196,2.648526077,0,0,0,1,0,115200
-122.27,37.84,48,1922,409,1026,335,1.7969,1.220895522,0.212799168,3.062686567,0,0,0,1,0,110400
-122.27,37.83,49,1655,366,754,329,1.375,1.112462006,0.221148036,2.291793313,0,0,0,1,0,104900
-122.27,37.83,51,2665,574,1258,536,2.7303,1.070895522,0.215384615,2.347014925,0,0,0,1,0,109700
-122.27,37.83,49,1215,282,570,264,1.4861,1.068181818,0.232098765,2.159090909,0,0,0,1,0,97200
-122.27,37.83,48,1798,432,987,374,1.0972,1.155080214,0.240266963,2.639037433,0,0,0,1,0,104500
-122.28,37.83,52,1511,390,901,403,1.4103,0.967741935,0.258107214,2.23573201,0,0,0,1,0,103900
-122.26,37.83,52,1470,330,689,309,3.48,1.067961165,0.224489796,2.229773463,0,0,0,1,0,191400
-122.26,37.83,52,2432,715,1377,696,2.5898,1.027298851,0.293996711,1.978448276,0,0,0,1,0,176000
-122.26,37.83,52,1665,419,946,395,2.0978,1.060759494,0.251651652,2.394936709,0,0,0,1,0,155400
-122.26,37.83,51,936,311,517,249,1.2852,1.248995984,0.332264957,2.076305221,0,0,0,1,0,150000
-122.26,37.84,49,713,202,462,189,1.025,1.068783069,0.283309958,2.444444444,0,0,0,1,0,118800
-122.26,37.84,52,950,202,467,198,3.9643,1.02020202,0.212631579,2.358585859,0,0,0,1,0,188800
-122.26,37.83,52,1443,311,660,292,3.0125,1.065068493,0.215523216,2.260273973,0,0,0,1,0,184400
-122.26,37.83,52,1656,420,718,382,2.6768,1.09947644,0.253623188,1.879581152,0,0,0,1,0,182300
-122.26,37.83,50,1125,322,616,304,2.026,1.059210526,0.286222222,2.026315789,0,0,0,1,0,142500
-122.27,37.82,43,1007,312,558,253,1.7348,1.233201581,0.309831182,2.205533597,0,0,0,1,0,137500
-122.26,37.82,40,624,195,423,160,0.9506,1.21875,0.3125,2.64375,0,0,0,1,0,187500
-122.27,37.82,40,946,375,700,352,1.775,1.065340909,0.39640592,1.988636364,0,0,0,1,0,112500
-122.27,37.82,21,896,453,735,438,0.9218,1.034246575,0.505580357,1.678082192,0,0,0,1,0,171900
-122.27,37.82,43,1868,456,1061,407,1.5045,1.12039312,0.244111349,2.606879607,0,0,0,1,0,93800
-122.27,37.82,41,3221,853,1959,720,1.1108,1.184722222,0.264824589,2.720833333,0,0,0,1,0,97500
-122.27,37.82,52,1630,456,1162,400,1.2475,1.14,0.279754601,2.905,0,0,0,1,0,104200
-122.28,37.82,52,1170,235,701,233,1.6098,1.008583691,0.200854701,3.008583691,0,0,0,1,0,87500
-122.28,37.82,52,945,243,576,220,1.4113,1.104545455,0.257142857,2.618181818,0,0,0,1,0,83100
-122.28,37.82,52,1238,288,622,259,1.5057,1.111969112,0.232633279,2.401544402,0,0,0,1,0,87500
-122.28,37.82,52,1489,335,728,244,0.8172,1.37295082,0.22498321,2.983606557,0,0,0,1,0,85300
-122.28,37.82,52,1387,341,1074,304,1.2171,1.121710526,0.245854362,3.532894737,0,0,0,1,0,80300
-122.29,37.82,2,158,43,94,57,2.5625,0.754385965,0.272151899,1.649122807,0,0,0,1,0,60000
-122.29,37.83,52,1121,211,554,187,3.3929,1.128342246,0.188224799,2.962566845,0,0,0,1,0,75700
-122.29,37.82,49,135,29,86,23,6.1183,1.260869565,0.214814815,3.739130435,0,0,0,1,0,75000
-122.29,37.81,50,760,190,377,122,0.9011,1.557377049,0.25,3.090163934,0,0,0,1,0,86100
-122.3,37.81,52,1224,237,521,159,1.191,1.490566038,0.193627451,3.27672956,0,0,0,1,0,76100
-122.3,37.81,48,828,182,392,133,2.5938,1.368421053,0.219806763,2.947368421,0,0,0,1,0,73500
-122.3,37.81,52,1010,209,604,187,1.1667,1.117647059,0.206930693,3.229946524,0,0,0,1,0,78400
-122.3,37.81,48,1455,354,788,332,0.8056,1.06626506,0.243298969,2.373493976,0,0,0,1,0,84400
-122.29,37.8,52,1027,244,492,147,2.6094,1.659863946,0.2375852,3.346938776,0,0,0,1,0,81300
-122.3,37.81,52,572,109,274,82,1.8516,1.329268293,0.190559441,3.341463415,0,0,0,1,0,85000
-122.29,37.81,46,2801,644,1823,611,0.9802,1.05400982,0.229917886,2.983633388,0,0,0,1,0,129200
-122.29,37.81,26,768,152,392,127,1.7719,1.196850394,0.197916667,3.086614173,0,0,0,1,0,82500
-122.29,37.81,46,935,297,582,277,0.7286,1.072202166,0.317647059,2.101083032,0,0,0,1,0,95200
-122.29,37.81,49,844,204,560,152,1.75,1.342105263,0.241706161,3.684210526,0,0,0,1,0,75000
-122.29,37.81,46,12,4,18,7,0.4999,0.571428571,0.333333333,2.571428571,0,0,0,1,0,67500
-122.29,37.81,20,835,161,290,133,2.483,1.210526316,0.192814371,2.180451128,0,0,0,1,0,137500
-122.28,37.81,17,1237,462,762,439,0.9241,1.0523918,0.373484236,1.735763098,0,0,0,1,0,177500
-122.28,37.81,36,2914,562,1236,509,2.4464,1.104125737,0.192862045,2.428290766,0,0,0,1,0,102100
-122.28,37.81,19,1207,243,721,207,1.1111,1.173913043,0.201325601,3.483091787,0,0,0,1,0,108300
-122.29,37.81,23,1745,374,1054,325,0.8026,1.150769231,0.214326648,3.243076923,0,0,0,1,0,112500
-122.28,37.8,38,684,176,344,155,2.0114,1.135483871,0.257309942,2.219354839,0,0,0,1,0,131300
-122.28,37.81,17,924,289,609,289,1.5,1,0.312770563,2.107266436,0,0,0,1,0,162500
-122.27,37.81,52,210,56,183,56,1.1667,1,0.266666667,3.267857143,0,0,0,1,0,112500
-122.28,37.81,52,340,97,200,87,1.5208,1.114942529,0.285294118,2.298850575,0,0,0,1,0,112500
-122.28,37.81,52,386,164,346,155,0.8075,1.058064516,0.424870466,2.232258065,0,0,0,1,0,137500
-122.28,37.81,35,948,184,467,169,1.8088,1.088757396,0.194092827,2.763313609,0,0,0,1,0,118800
-122.28,37.81,52,773,143,377,115,2.4083,1.243478261,0.184993532,3.27826087,0,0,0,1,0,98200
-122.27,37.81,40,880,451,582,380,0.977,1.186842105,0.5125,1.531578947,0,0,0,1,0,118800
-122.27,37.81,10,875,348,546,330,0.76,1.054545455,0.397714286,1.654545455,0,0,0,1,0,162500
-122.27,37.8,10,105,42,125,39,0.9722,1.076923077,0.4,3.205128205,0,0,0,1,0,137500
-122.27,37.8,52,249,78,396,85,1.2434,0.917647059,0.313253012,4.658823529,0,0,0,1,0,500001
-122.27,37.8,16,994,392,800,362,2.0938,1.082872928,0.394366197,2.209944751,0,0,0,1,0,162500
-122.28,37.8,52,215,87,904,88,0.8668,0.988636364,0.404651163,10.27272727,0,0,0,1,0,137500
-122.28,37.8,52,96,31,191,34,0.75,0.911764706,0.322916667,5.617647059,0,0,0,1,0,162500
-122.27,37.79,27,1055,347,718,302,2.6354,1.149006623,0.328909953,2.377483444,0,0,0,1,0,187500
-122.27,37.8,39,1715,623,1327,467,1.8477,1.334047109,0.363265306,2.841541756,0,0,0,1,0,179200
-122.26,37.8,36,5329,2477,3469,2323,2.0096,1.066293586,0.464815162,1.493327594,0,0,0,1,0,130000
-122.26,37.82,31,4596,1331,2048,1180,2.8345,1.127966102,0.289599652,1.73559322,0,0,0,1,0,183800
-122.26,37.81,29,335,107,202,91,2.0062,1.175824176,0.319402985,2.21978022,0,0,0,1,0,125000
-122.26,37.82,22,3682,1270,2024,1250,1.2185,1.016,0.344921238,1.6192,0,0,0,1,0,170000
-122.26,37.82,37,3633,1085,1838,980,2.6104,1.107142857,0.298651252,1.875510204,0,0,0,1,0,193100
-122.25,37.81,29,4656,1414,2304,1250,2.4912,1.1312,0.303694158,1.8432,0,0,0,1,0,257800
-122.25,37.81,28,5806,1603,2563,1497,3.2177,1.070808283,0.276093696,1.712090848,0,0,0,1,0,273400
-122.25,37.81,39,854,242,389,228,3.125,1.061403509,0.283372365,1.706140351,0,0,0,1,0,237500
-122.25,37.81,52,2155,701,895,613,2.5795,1.143556281,0.325290023,1.460032626,0,0,0,1,0,350000
-122.26,37.81,34,5871,1914,2689,1789,2.8406,1.069871437,0.326009198,1.503074343,0,0,0,1,0,335700
-122.24,37.82,52,1509,225,674,244,4.9306,0.922131148,0.149105368,2.762295082,0,0,0,1,0,313400
-122.24,37.81,52,2026,482,709,456,3.2727,1.057017544,0.237907206,1.554824561,0,0,0,1,0,268500
-122.25,37.81,52,1758,460,686,422,3.1691,1.090047393,0.261660978,1.625592417,0,0,0,1,0,259400
-122.24,37.82,52,3481,751,1444,718,3.9,1.045961003,0.215742603,2.011142061,0,0,0,1,0,275700
-122.25,37.82,28,3337,855,1520,802,3.9063,1.066084788,0.25621816,1.895261845,0,0,0,1,0,225000
-122.25,37.82,52,1424,289,550,253,5.0917,1.14229249,0.202949438,2.173913043,0,0,0,1,0,262500
-122.25,37.82,32,3809,1098,1806,1022,2.6429,1.074363992,0.288264636,1.767123288,0,0,0,1,0,218500
-122.25,37.82,26,3959,1196,1749,1217,3.0233,0.982744454,0.302096489,1.437140509,0,0,0,1,0,255000
-122.25,37.83,52,2376,559,939,519,3.1484,1.077071291,0.23526936,1.809248555,0,0,0,1,0,224100
-122.25,37.83,35,1613,428,675,422,3.4722,1.014218009,0.265344079,1.599526066,0,0,0,1,0,243100
-122.25,37.83,52,1279,287,534,291,3.1429,0.986254296,0.224394058,1.835051546,0,0,0,1,0,231600
-122.25,37.83,28,5022,1750,2558,1661,2.4234,1.053582179,0.348466746,1.540036123,0,0,0,1,0,218500
-122.25,37.83,52,4190,1105,1786,1037,3.0897,1.06557377,0.26372315,1.722275796,0,0,0,1,0,234100
-122.23,37.84,50,2515,399,970,373,5.8596,1.069705094,0.158648111,2.600536193,0,0,0,1,0,327600
-122.23,37.84,47,3175,454,1098,485,5.2868,0.936082474,0.142992126,2.263917526,0,0,0,1,0,347600
-122.24,37.83,41,2576,406,794,376,5.956,1.079787234,0.157608696,2.111702128,0,0,0,1,0,366100
-122.24,37.85,37,334,54,98,47,4.9643,1.14893617,0.161676647,2.085106383,0,0,0,1,0,335000
-122.23,37.85,52,2800,411,1061,403,6.3434,1.019851117,0.146785714,2.632754342,0,0,0,1,0,373600
-122.24,37.84,52,3529,574,1177,555,5.1773,1.034234234,0.162652309,2.120720721,0,0,0,1,0,389500
-122.24,37.85,52,2612,365,901,367,7.2354,0.994550409,0.139739663,2.455040872,0,0,0,1,0,391100
-122.22,37.85,28,5287,1048,2031,956,5.457,1.09623431,0.198222054,2.124476987,0,0,0,1,0,337300
-122.22,37.84,50,2935,473,1031,479,7.5,0.987473904,0.161158433,2.152400835,0,0,0,1,0,295200
-122.21,37.84,44,3424,597,1358,597,6.0194,1,0.174357477,2.274706868,0,0,0,1,0,292300
-122.21,37.83,40,4991,674,1616,654,7.5544,1.03058104,0.135043078,2.470948012,0,0,0,1,0,411500
-122.2,37.84,30,2211,346,844,343,6.0666,1.008746356,0.156490276,2.460641399,0,0,0,1,0,311500
-122.21,37.84,34,3038,490,1140,496,7.0548,0.987903226,0.161290323,2.298387097,0,0,0,1,0,325900
-122.19,37.84,18,1617,210,533,194,11.6017,1.082474227,0.12987013,2.74742268,0,0,0,1,0,392600
-122.2,37.84,35,2865,460,1072,443,7.4882,1.038374718,0.160558464,2.41986456,0,0,0,1,0,319300
-122.21,37.83,34,5065,788,1627,766,6.8976,1.028720627,0.155577493,2.124020888,0,0,0,1,0,333300
-122.19,37.83,28,1326,184,463,190,8.2049,0.968421053,0.138763198,2.436842105,0,0,0,1,0,335200
-122.2,37.83,26,1589,223,542,211,8.401,1.056872038,0.140339836,2.568720379,0,0,0,1,0,351200
-122.19,37.83,29,1791,271,661,269,6.8538,1.007434944,0.151312116,2.457249071,0,0,0,1,0,368900
-122.19,37.82,32,1835,264,635,263,8.317,1.003802281,0.14386921,2.414448669,0,0,0,1,0,365900
-122.2,37.82,37,1229,181,420,176,7.0175,1.028409091,0.147274207,2.386363636,0,0,0,1,0,366700
-122.2,37.82,39,3770,534,1265,500,6.3302,1.068,0.141644562,2.53,0,0,0,1,0,362800
-122.18,37.81,30,292,38,126,52,6.3624,0.730769231,0.130136986,2.423076923,0,0,0,1,0,483300
-122.21,37.82,52,2375,333,813,350,7.0549,0.951428571,0.140210526,2.322857143,0,0,0,1,0,331400
-122.2,37.81,45,2964,436,1067,426,6.7851,1.023474178,0.147098516,2.504694836,0,0,0,1,0,323500
-122.21,37.8,50,2833,605,1260,552,2.8929,1.096014493,0.213554536,2.282608696,0,0,0,1,0,216700
-122.21,37.8,38,2254,535,951,487,3.0812,1.098562628,0.237355812,1.952772074,0,0,0,1,0,233100
-122.21,37.81,52,1389,212,510,224,5.2402,0.946428571,0.15262779,2.276785714,0,0,0,1,0,296400
-122.22,37.81,52,1971,335,765,308,6.5217,1.087662338,0.169964485,2.483766234,0,0,0,1,0,273700
-122.22,37.8,52,2183,465,1129,460,3.2632,1.010869565,0.21300962,2.454347826,0,0,0,1,0,227700
-122.22,37.8,52,2286,464,1073,441,3.0298,1.052154195,0.202974628,2.433106576,0,0,0,1,0,199600
-122.22,37.8,52,2721,541,1185,515,4.5428,1.050485437,0.198823962,2.300970874,0,0,0,1,0,239800
-122.22,37.81,52,2024,339,756,340,4.072,0.997058824,0.167490119,2.223529412,0,0,0,1,0,270100
-122.22,37.81,52,2944,536,1034,521,5.3509,1.028790787,0.182065217,1.984644914,0,0,0,1,0,302100
-122.23,37.8,52,2033,486,787,459,3.1603,1.058823529,0.239055583,1.71459695,0,0,0,1,0,269500
-122.23,37.81,52,1433,229,612,213,4.7708,1.075117371,0.159804606,2.873239437,0,0,0,1,0,314700
-122.22,37.81,52,2927,402,1021,380,8.1564,1.057894737,0.137341988,2.686842105,0,0,0,1,0,390100
-122.23,37.81,52,2315,292,861,258,8.8793,1.131782946,0.126133909,3.337209302,0,0,0,1,0,410300
-122.24,37.81,52,2485,313,953,327,6.8591,0.957186544,0.125955734,2.914373089,0,0,0,1,0,352400
-122.24,37.81,52,1490,238,634,256,6.0302,0.9296875,0.159731544,2.4765625,0,0,0,1,0,287300
-122.23,37.81,52,2814,365,878,352,7.508,1.036931818,0.1297086,2.494318182,0,0,0,1,0,348700
-122.24,37.81,52,2093,550,918,483,2.7477,1.138716356,0.262780698,1.900621118,0,0,0,1,0,243800
-122.24,37.8,52,888,168,360,175,2.1944,0.96,0.189189189,2.057142857,0,0,0,1,0,211500
-122.25,37.8,52,2087,510,1197,488,3.0149,1.045081967,0.244369909,2.452868852,0,0,0,1,0,218400
-122.24,37.81,52,2513,502,1048,518,3.675,0.969111969,0.199761242,2.023166023,0,0,0,1,0,269900
-122.25,37.81,46,3232,835,1373,747,3.225,1.117804552,0.25835396,1.838018742,0,0,0,1,0,218800
-122.25,37.8,42,4120,1065,1715,1015,2.9345,1.049261084,0.258495146,1.689655172,0,0,0,1,0,225000
-122.25,37.8,43,2364,792,1359,722,2.1429,1.096952909,0.335025381,1.882271468,0,0,0,1,0,250000
-122.25,37.8,41,1471,469,1062,413,1.6121,1.13559322,0.318830727,2.571428571,0,0,0,1,0,171400
-122.25,37.8,29,2468,864,1335,773,1.3929,1.117723157,0.350081037,1.727037516,0,0,0,1,0,193800
-122.24,37.79,27,1632,492,1171,429,2.3173,1.146853147,0.301470588,2.72960373,0,0,0,1,0,125000
-122.25,37.79,45,1786,526,1475,460,1.7772,1.143478261,0.294512878,3.206521739,0,0,0,1,0,97500
-122.25,37.79,50,629,188,742,196,2.6458,0.959183673,0.298887122,3.785714286,0,0,0,1,0,125000
-122.25,37.79,52,1339,391,1086,363,2.181,1.077134986,0.292008962,2.991735537,0,0,0,1,0,138800
-122.25,37.8,36,1678,606,1645,543,2.2303,1.116022099,0.361144219,3.02946593,0,0,0,1,0,116700
-122.25,37.8,43,2344,647,1710,644,1.6504,1.004658385,0.276023891,2.655279503,0,0,0,1,0,151800
-122.24,37.8,52,996,228,731,228,2.2697,1,0.228915663,3.206140351,0,0,0,1,0,127000
-122.24,37.8,52,1591,373,1118,347,2.1563,1.074927954,0.234443746,3.221902017,0,0,0,1,0,128600
-122.24,37.8,52,1586,398,1006,335,2.1348,1.188059701,0.250945776,3.002985075,0,0,0,1,0,140600
-122.24,37.8,47,2046,588,1213,554,2.6292,1.061371841,0.287390029,2.189530686,0,0,0,1,0,182700
-122.23,37.8,52,1192,289,772,257,2.3833,1.124513619,0.242449664,3.003891051,0,0,0,1,0,146900
-122.24,37.8,52,1803,420,1321,401,2.957,1.047381546,0.232945092,3.294264339,0,0,0,1,0,122800
-122.24,37.8,49,2838,749,1487,677,2.5238,1.106351551,0.263918252,2.196454948,0,0,0,1,0,169300
-122.23,37.8,52,783,184,488,186,1.9375,0.989247312,0.234993614,2.623655914,0,0,0,1,0,126600
-122.23,37.8,51,1590,414,949,392,1.9028,1.056122449,0.260377358,2.420918367,0,0,0,1,0,127900
-122.23,37.8,50,1746,480,1149,415,2.25,1.156626506,0.274914089,2.768674699,0,0,0,1,0,123500
-122.23,37.8,52,1252,299,844,280,2.3929,1.067857143,0.238817891,3.014285714,0,0,0,1,0,111900
-122.23,37.79,43,5963,1344,4367,1231,2.1917,1.091795288,0.225389904,3.54752234,0,0,0,1,0,112800
-122.23,37.79,52,1783,395,1659,412,2.9357,0.958737864,0.221536736,4.026699029,0,0,0,1,0,107900
-122.23,37.79,30,999,264,1011,263,1.8854,1.003802281,0.264264264,3.844106464,0,0,0,1,0,137500
-122.24,37.79,39,1469,431,1464,389,2.1638,1.107969152,0.293396869,3.763496144,0,0,0,1,0,105500
-122.24,37.79,47,1372,395,1237,303,2.125,1.303630363,0.287900875,4.082508251,0,0,0,1,0,95500
-122.24,37.79,52,674,180,647,168,3.375,1.071428571,0.267062315,3.851190476,0,0,0,1,0,116100
-122.24,37.79,43,1626,376,1284,357,2.2542,1.053221289,0.231242312,3.596638655,0,0,0,1,0,112200
-122.25,37.79,51,175,43,228,55,2.1,0.781818182,0.245714286,4.145454545,0,0,0,1,0,75000
-122.25,37.79,39,461,129,381,123,1.6,1.048780488,0.279826464,3.097560976,0,0,0,1,0,112500
-122.25,37.79,52,902,237,846,227,3.625,1.044052863,0.262749446,3.726872247,0,0,0,1,0,125000
-122.26,37.8,20,2373,779,1659,676,1.6929,1.152366864,0.328276443,2.454142012,0,0,0,1,0,115000
-122.22,37.77,52,391,128,520,138,1.6471,0.927536232,0.327365729,3.768115942,0,0,0,1,0,95000
-122.22,37.77,52,1137,301,866,259,2.59,1.162162162,0.26473175,3.343629344,0,0,0,1,0,96400
-122.23,37.77,52,769,206,612,183,2.57,1.12568306,0.267880364,3.344262295,0,0,0,1,0,72000
-122.23,37.78,52,472,146,415,126,2.6429,1.158730159,0.309322034,3.293650794,0,0,0,1,0,71300
-122.23,37.78,52,862,215,994,213,3.0257,1.009389671,0.249419954,4.666666667,0,0,0,1,0,80800
-122.22,37.78,50,1920,530,1525,477,1.4886,1.111111111,0.276041667,3.19706499,0,0,0,1,0,128800
-122.23,37.78,43,1420,472,1506,438,1.9338,1.077625571,0.332394366,3.438356164,0,0,0,1,0,112500
-122.23,37.78,52,986,258,1008,255,1.4844,1.011764706,0.261663286,3.952941176,0,0,0,1,0,119400
-122.23,37.78,44,2340,825,2813,751,1.6009,1.098535286,0.352564103,3.745672437,0,0,0,1,0,118100
-122.23,37.79,48,1696,396,1481,343,2.0375,1.15451895,0.233490566,4.317784257,0,0,0,1,0,122500
-122.23,37.79,49,1175,217,859,219,2.293,0.99086758,0.184680851,3.922374429,0,0,0,1,0,106300
-122.22,37.79,37,2343,574,1608,523,2.1494,1.09751434,0.244985062,3.07456979,0,0,0,1,0,132500
-122.23,37.79,30,610,145,425,140,1.6198,1.035714286,0.237704918,3.035714286,0,0,0,1,0,122700
-122.23,37.79,40,930,199,564,184,1.3281,1.081521739,0.213978495,3.065217391,0,0,0,1,0,113300
-122.22,37.79,44,1487,314,961,272,3.5156,1.154411765,0.211163416,3.533088235,0,0,0,1,0,109500
-122.22,37.79,52,3424,690,2273,685,3.9048,1.00729927,0.201518692,3.318248175,0,0,0,1,0,164700
-122.21,37.79,52,762,190,600,195,3.0893,0.974358974,0.249343832,3.076923077,0,0,0,1,0,125000
-122.22,37.79,46,2366,575,1647,527,2.6042,1.091081594,0.243026205,3.125237192,0,0,0,1,0,124700
-122.22,37.79,49,1826,450,1201,424,2.5,1.061320755,0.246440307,2.83254717,0,0,0,1,0,136700
-122.22,37.79,38,3049,711,2167,659,2.7969,1.078907436,0.23319121,3.28831563,0,0,0,1,0,141700
-122.2,37.79,29,1640,376,939,340,2.8321,1.105882353,0.229268293,2.761764706,0,0,0,1,0,150000
-122.21,37.79,47,1543,307,859,292,2.9583,1.051369863,0.198963059,2.941780822,0,0,0,1,0,138800
-122.21,37.79,34,2364,557,1517,516,2.8365,1.079457364,0.235617597,2.939922481,0,0,0,1,0,139200
-122.21,37.79,35,1745,409,1143,386,2.875,1.059585492,0.234383954,2.961139896,0,0,0,1,0,143800
-122.21,37.8,39,2003,500,1109,464,3.0682,1.077586207,0.249625562,2.390086207,0,0,0,1,0,156500
-122.21,37.8,39,2018,447,1221,446,3.0757,1.002242152,0.221506442,2.737668161,0,0,0,1,0,151000
-122.2,37.8,43,3045,499,1115,455,4.9559,1.096703297,0.163875205,2.450549451,0,0,0,1,0,273000
-122.2,37.8,52,1547,293,706,268,4.7721,1.093283582,0.189398836,2.634328358,0,0,0,1,0,217100
-122.21,37.8,52,3519,711,1883,706,3.4861,1.007082153,0.202046036,2.66713881,0,0,0,1,0,187100
-122.2,37.8,41,2070,354,804,340,5.1184,1.041176471,0.171014493,2.364705882,0,0,0,1,0,239600
-122.21,37.8,48,1321,263,506,252,4.0977,1.043650794,0.199091597,2.007936508,0,0,0,1,0,229700
-122.19,37.8,48,1694,259,610,238,4.744,1.088235294,0.152892562,2.56302521,0,0,0,1,0,257300
-122.19,37.8,46,1938,341,768,332,4.2727,1.027108434,0.175954592,2.313253012,0,0,0,1,0,246900
-122.19,37.79,50,968,195,462,184,2.9844,1.059782609,0.201446281,2.510869565,0,0,0,1,0,179900
-122.2,37.79,40,1060,256,667,235,4.1739,1.089361702,0.241509434,2.838297872,0,0,0,1,0,169600
-122.2,37.8,46,2041,405,1059,399,3.8487,1.015037594,0.198432141,2.654135338,0,0,0,1,0,203300
-122.19,37.8,52,1813,271,637,277,4.0114,0.97833935,0.149476007,2.299638989,0,0,0,1,0,263400
-122.19,37.79,45,2718,451,1106,454,4.6563,0.99339207,0.165930831,2.436123348,0,0,0,1,0,231800
-122.19,37.79,28,3144,761,1737,669,2.9297,1.137518685,0.242048346,2.596412556,0,0,0,1,0,140500
-122.2,37.79,35,1802,459,1009,390,2.3036,1.176923077,0.254716981,2.587179487,0,0,0,1,0,126000
-122.2,37.79,49,882,195,737,210,2.6667,0.928571429,0.221088435,3.50952381,0,0,0,1,0,122000
-122.2,37.79,44,1621,452,1354,491,2.619,0.920570265,0.278840222,2.757637475,0,0,0,1,0,134700
-122.21,37.79,45,2115,533,1530,474,2.4167,1.124472574,0.252009456,3.227848101,0,0,0,1,0,139400
-122.2,37.79,45,2021,528,1410,480,2.7788,1.1,0.261256804,2.9375,0,0,0,1,0,115400
-122.21,37.78,46,2239,508,1390,569,2.7352,0.892794376,0.226887003,2.44288225,0,0,0,1,0,137300
-122.21,37.78,52,1477,300,1065,269,1.8472,1.115241636,0.203114421,3.959107807,0,0,0,1,0,137000
-122.21,37.78,52,1056,224,792,245,2.6583,0.914285714,0.212121212,3.232653061,0,0,0,1,0,142600
-122.21,37.78,49,898,244,779,245,3.0536,0.995918367,0.271714922,3.179591837,0,0,0,1,0,137500
-122.22,37.78,44,2968,710,2269,610,2.3906,1.163934426,0.239218329,3.719672131,0,0,0,1,0,111700
